Pile;Face;Difficulté
trouvère;poète, chanteur appartenant à une autre époque, troubadour;2
truchement;porte-parole, ce qui traduit les sentiments, interprète;2
trufferie;tromperie, piège;2
truisme;affirmation évidente, banale, sans portée;2
tutélaire;se dit d’une divinité d ‘un rôle protecteurs (relatif à la tutelle);2
ubéreux;qui produit beaucoup (au sujet d’un artiste);2
ubiquiste;qui est partout à la fois;2
ubuesque;qui évoque le grotesque du père Ubu par un despotisme, une cruauté, un cynisme, une forfanterie d’un caractère outrancier ou par des petitesses dérisoires;2
uchronie;récit de fiction qui repose sur des conséquences imaginaires tirées de faits réels, histoire alternative;2
univoque; se dit d’un signe, d’un mot, qui garde le même sens dans ses différents emplois, qui n’est pas équivoque;2
urbanité;politesse, courtoisie;2
vade-mecum;guide, manuel que l’on garde avec soi pour le consulter;2
vaticiner;faire des prédictions, prophétiser l’avenir en se prenant au sérieux;2
velléitaire;qui est incapable de prendre des décisions et de passer aux actes;2
véniel;qui a peu de gravité, qui n’est pas très gênant, qui peut être pardonné;2
verbalisme;excès de paroles qui ne mènent à rien, abondance de paroles masquant la carence des idées;2
verbatim;compte rendu d’un débat, d’une discussion, d’un discours;2
verbiage;abondance de paroles vides de sens ou qui disent peu;2
verve;inspiration vive et chaleureuse, imagination créatrice;2
veule;qui manque d’énergie, de volonté et de courage, qui est faible, voire lâche;2
vexatoire;qui vexe, qui a le caractère d’une vexation;2
viatique;ce qui aide et soutient pour les besoins de l’existence;2
vicissitude;succession d’événements bons ou mauvais, et, en particulier, ensemble des événements malheureux qui affectent l’existence humaine (pluriel);2
viduité;état d’être veuf ou veuve;2
vilipender;traiter avec beaucoup de mépris;2
vindicatif;qui est porté à se venger, qui est inspiré par le désir de vengeance.;2
violine;d’un violet pourpre;2
virago;femme d’allure masculine, aux manières et autoritaires;2
vitupérer;proférer des injures, des récriminations contre quelqu’un, quelque chose, les blâmer avec force;2
volage;personne dont les sentiments sont changeants;2
volubile;qui parle beaucoup, très vite et avec aisance;2
vulgate;idéologie, courant de pensée vulgarisés, à l’usage du plus grand nombre;2
zélateur;personne qui montre un zèle ardent, le plus souvent intempestif;2
